Model Type,Training Split Ratio,Max Depth,Criterion,Number of Trees,Mean Accuracy
Random Forest,0.1,4,gini,130.0,0.9903075030750308
Random Forest,0.25,5,gini,127.0,0.9902904972919743
Random Forest,0.15,4,entropy,130.0,0.9902625102543068
Random Forest,0.45,5,gini,129.0,0.9902571115973748
Random Forest,0.2,5,gini,129.0,0.9902461538461541
Random Forest,0.4,5,entropy,127.0,0.9902430769230769
Random Forest,0.3,5,entropy,130.0,0.990242001640689
Random Forest,0.35,5,entropy,126.0,0.9902390998593531
Random Forest,0.15,5,gini,125.0,0.9902378999179655
Random Forest,0.15,4,entropy,125.0,0.9902378999179651
Random Forest,0.1,5,entropy,129.0,0.9902337023370237
Random Forest,0.1,5,entropy,127.0,0.9902337023370233
Random Forest,0.45,5,entropy,125.0,0.9902324945295407
Random Forest,0.3,5,gini,128.0,0.9902255947497948
Random Forest,0.2,5,entropy,129.0,0.9902215384615382
Random Forest,0.3,4,entropy,127.0,0.9902173913043478
Random Forest,0.45,4,gini,126.0,0.9902133479212251
Random Forest,0.15,4,gini,126.0,0.9902132895816245
Random Forest,0.3,5,entropy,127.0,0.9902132895816242
Random Forest,0.15,4,gini,125.0,0.9902132895816241
Random Forest,0.45,5,entropy,129.0,0.9902024070021881
Random Forest,0.4,5,gini,125.0,0.9901999999999996
Random Forest,0.2,5,entropy,125.0,0.9901907692307687
Random Forest,0.3,5,entropy,129.0,0.990180475799836
Random Forest,0.15,5,entropy,126.0,0.9901804757998359
Random Forest,0.25,5,entropy,130.0,0.9901772525849336
Random Forest,0.3,4,entropy,130.0,0.9901763740771122
Random Forest,0.3,4,gini,129.0,0.9901722723543885
Random Forest,0.35,4,gini,128.0,0.9901582278481016
Random Forest,0.25,5,entropy,126.0,0.9901575578532744
Random Forest,0.2,5,entropy,126.0,0.9901538461538459
Random Forest,0.3,4,gini,130.0,0.9901476620180477
Random Forest,0.3,5,entropy,125.0,0.9901476620180476
Random Forest,0.15,4,gini,127.0,0.9901476620180472
Random Forest,0.1,4,gini,129.0,0.9901230012300125
Random Forest,0.1,5,gini,128.0,0.9901230012300124
Random Forest,0.45,4,gini,125.0,0.9901148796498909
Random Forest,0.25,4,entropy,129.0,0.9901132447070409
Random Forest,0.1,5,entropy,130.0,0.9901107011070112
Random Forest,0.45,5,entropy,126.0,0.9901094091903722
Random Forest,0.45,5,entropy,130.0,0.9901094091903718
Random Forest,0.4,4,gini,130.0,0.9901046153846156
Random Forest,0.25,4,gini,127.0,0.9901033973412112
Random Forest,0.25,4,gini,126.0,0.9901033973412106
Random Forest,0.4,5,entropy,129.0,0.9901015384615383
Random Forest,0.15,4,entropy,127.0,0.990098441345365
Random Forest,0.2,4,gini,130.0,0.9900861538461535
Random Forest,0.3,4,entropy,125.0,0.9900861361771947
Random Forest,0.35,4,entropy,128.0,0.9900773558368495
Random Forest,0.25,4,gini,125.0,0.9900738552437224
Random Forest,0.35,5,entropy,130.0,0.9900668073136428
Random Forest,0.4,4,entropy,130.0,0.9900646153846158
Random Forest,0.3,4,gini,126.0,0.9900615258408536
Random Forest,0.25,4,entropy,130.0,0.9900541605120631
Random Forest,0.4,5,entropy,128.0,0.9900492307692309
Random Forest,0.35,4,gini,125.0,0.9900492264416314
Random Forest,0.15,5,entropy,127.0,0.9900410172272351
Random Forest,0.2,4,entropy,129.0,0.990030769230769
Random Forest,0.3,4,gini,127.0,0.9900205086136173
Random Forest,0.45,4,gini,128.0,0.9900164113785561
Random Forest,0.4,4,entropy,125.0,0.9900092307692308
Random Forest,0.15,4,gini,129.0,0.9900082034454469
Random Forest,0.2,4,entropy,126.0,0.990006153846154
Random Forest,0.35,4,gini,130.0,0.9900000000000003
Random Forest,0.1,4,gini,128.0,0.99
Random Forest,0.4,4,gini,127.0,0.9899907692307695
Random Forest,0.35,4,entropy,130.0,0.9899894514767937
Random Forest,0.35,4,entropy,125.0,0.989982419127989
Random Forest,0.2,4,gini,128.0,0.9899753846153844
Random Forest,0.25,4,entropy,128.0,0.9899753815854261
Random Forest,0.35,4,gini,126.0,0.9899683544303801
Random Forest,0.3,4,entropy,129.0,0.9899671862182116
Random Forest,0.25,4,gini,130.0,0.9899655342195962
Random Forest,0.4,4,gini,129.0,0.9899538461538462
Random Forest,0.4,4,gini,126.0,0.9899507692307695
Random Forest,0.4,4,entropy,129.0,0.9899384615384612
Random Forest,0.4,5,entropy,130.0,0.9899292307692308
Random Forest,0.15,5,entropy,128.0,0.9899261689909769
Random Forest,0.45,4,gini,127.0,0.9899124726477028
Random Forest,0.35,4,gini,129.0,0.9899120956399448
Random Forest,0.45,4,gini,130.0,0.989904266958425
Random Forest,0.45,4,entropy,127.0,0.9899042669584243
Random Forest,0.4,5,entropy,126.0,0.9898984615384618
Random Forest,0.4,4,gini,125.0,0.9898984615384618
Random Forest,0.25,4,entropy,126.0,0.9898966026587889
Random Forest,0.35,4,entropy,127.0,0.9898945147679324
Random Forest,0.15,4,entropy,126.0,0.9898933552091884
Random Forest,0.4,4,gini,128.0,0.989892307692308
Random Forest,0.1,4,entropy,127.0,0.9898892988929892
Random Forest,0.25,4,entropy,127.0,0.9898818316100437
Random Forest,0.3,4,gini,128.0,0.9898523379819524
Random Forest,0.15,5,entropy,129.0,0.9898523379819519
Random Forest,0.15,4,entropy,128.0,0.9898441345365053
Random Forest,0.15,4,gini,130.0,0.9898441345365048
Random Forest,0.45,4,entropy,130.0,0.9898386214442018
Random Forest,0.35,4,entropy,126.0,0.9898347398030944
Random Forest,0.45,4,entropy,129.0,0.989819474835886
Random Forest,0.25,4,gini,128.0,0.9898129000492366
Random Forest,0.3,4,gini,125.0,0.9898113207547169
Random Forest,0.35,4,entropy,129.0,0.9897925457102678
Random Forest,0.4,4,entropy,127.0,0.9897753846153848
Random Forest,0.3,4,entropy,126.0,0.9897744052502051
Random Forest,0.45,4,entropy,125.0,0.9897456236323856
Random Forest,0.4,4,entropy,128.0,0.989723076923077
Random Forest,0.2,4,gini,126.0,0.9897230769230768
Random Forest,0.25,4,gini,129.0,0.9897193500738551
Random Forest,0.1,4,entropy,130.0,0.9897170971709716
Random Forest,0.35,4,gini,127.0,0.9896940928270045
Random Forest,0.2,4,entropy,130.0,0.9896923076923072
Random Forest,0.45,4,entropy,126.0,0.9896854485776808
Random Forest,0.2,4,entropy,127.0,0.9896799999999996
Random Forest,0.1,4,entropy,126.0,0.989667896678967
Random Forest,0.1,4,gini,127.0,0.9896432964329643
Random Forest,0.3,4,entropy,128.0,0.9896431501230513
Random Forest,0.45,4,gini,129.0,0.9896362144420133
Random Forest,0.2,4,entropy,125.0,0.9896246153846149
Random Forest,0.15,4,gini,128.0,0.9896144380639866
Random Forest,0.25,4,entropy,125.0,0.9896110290497289
Random Forest,0.2,4,gini,127.0,0.9895999999999995
Random Forest,0.4,4,entropy,126.0,0.9895876923076924
Random Forest,0.45,4,entropy,128.0,0.989576039387309
Random Forest,0.1,4,entropy,129.0,0.9895694956949572
Random Forest,0.2,4,entropy,128.0,0.9895630769230764
Random Forest,0.1,5,entropy,125.0,0.9894341943419431
Random Forest,0.1,4,entropy,125.0,0.9894095940959409
Random Forest,0.1,4,entropy,128.0,0.9890651906519065
Random Forest,0.2,3,gini,129.0,0.9840307692307694
Random Forest,0.2,3,gini,130.0,0.9837230769230768
Random Forest,0.15,3,gini,127.0,0.9836505332239547
Random Forest,0.35,3,gini,125.0,0.9833473980309422
Random Forest,0.25,3,gini,126.0,0.9833431806991629
Random Forest,0.4,3,gini,125.0,0.9832338461538463
Random Forest,0.35,3,gini,128.0,0.9832102672292544
Random Forest,0.35,3,gini,129.0,0.9831610407876235
Random Forest,0.2,3,gini,126.0,0.9831446153846153
Random Forest,0.4,3,gini,130.0,0.9831292307692313
Random Forest,0.15,3,gini,130.0,0.9830926989335523
Random Forest,0.35,3,gini,130.0,0.9830344585091426
Random Forest,0.4,3,gini,126.0,0.9830276923076923
Random Forest,0.25,3,gini,129.0,0.9830083702609552
Random Forest,0.2,3,gini,125.0,0.9829969230769234
Random Forest,0.1,3,gini,130.0,0.982988929889299
Random Forest,0.2,3,gini,127.0,0.9829600000000001
Random Forest,0.45,3,gini,125.0,0.9829458424507662
Random Forest,0.15,3,gini,129.0,0.9829204265791631
Random Forest,0.4,3,gini,127.0,0.9829169230769229
Random Forest,0.25,3,gini,125.0,0.9829148202855733
Random Forest,0.1,3,gini,128.0,0.982841328413284
Random Forest,0.25,3,gini,127.0,0.9828360413589362
Random Forest,0.3,3,gini,125.0,0.9827768662838393
Random Forest,0.15,3,gini,126.0,0.9827645611156685
Random Forest,0.2,3,gini,128.0,0.9827507692307691
Random Forest,0.45,3,gini,127.0,0.982718818380744
Random Forest,0.15,3,gini,125.0,0.9826989335520918
Random Forest,0.45,3,gini,129.0,0.9826586433260394
Random Forest,0.1,3,gini,126.0,0.982632226322263
Random Forest,0.1,3,gini,129.0,0.9825707257072567
Random Forest,0.1,3,gini,125.0,0.9825584255842557
Random Forest,0.15,3,gini,128.0,0.9825512715340445
Random Forest,0.4,3,gini,128.0,0.9825384615384618
Random Forest,0.35,3,gini,126.0,0.9825035161744023
Random Forest,0.35,3,gini,127.0,0.9824507735583689
Random Forest,0.3,3,gini,126.0,0.9824118129614444
Random Forest,0.4,3,entropy,127.0,0.9823538461538465
Random Forest,0.3,3,gini,129.0,0.9823379819524198
Random Forest,0.25,3,gini,130.0,0.9823289020187097
Random Forest,0.25,3,gini,128.0,0.9822796651895617
Random Forest,0.25,3,entropy,126.0,0.982072870507139
Random Forest,0.1,3,gini,127.0,0.9820664206642058
Random Forest,0.45,3,gini,126.0,0.9820404814004382
Random Forest,0.3,3,gini,128.0,0.9820344544708779
Random Forest,0.3,3,gini,130.0,0.9820057424118125
Random Forest,0.25,3,entropy,130.0,0.9819694731659283
Random Forest,0.45,3,gini,128.0,0.9819256017505466
Random Forest,0.2,3,entropy,128.0,0.9818953846153845
Random Forest,0.15,3,entropy,129.0,0.9818621821164889
Random Forest,0.1,3,entropy,125.0,0.9818450184501846
Random Forest,0.3,3,gini,127.0,0.981825266611977
Random Forest,0.1,3,entropy,127.0,0.9817343173431736
Random Forest,0.2,3,entropy,126.0,0.9816861538461537
Random Forest,0.45,3,gini,130.0,0.9816657549234131
Random Forest,0.1,3,entropy,129.0,0.98150061500615
Random Forest,0.4,3,gini,129.0,0.9814861538461542
Random Forest,0.35,3,entropy,129.0,0.9814064697609006
Random Forest,0.1,3,entropy,126.0,0.9813653136531362
Random Forest,0.15,3,entropy,128.0,0.9812551271534045
Random Forest,0.2,3,entropy,130.0,0.9811200000000002
Random Forest,0.15,3,entropy,130.0,0.9810664479081213
Random Forest,0.3,3,entropy,128.0,0.9809310910582443
Random Forest,0.45,3,entropy,127.0,0.9808807439824944
Random Forest,0.15,3,entropy,127.0,0.9808695652173917
Random Forest,0.3,3,entropy,130.0,0.9808080393765387
Random Forest,0.25,3,entropy,127.0,0.9807188577055631
Random Forest,0.35,3,entropy,127.0,0.9806645569620258
Random Forest,0.25,3,entropy,125.0,0.9805465288035454
Random Forest,0.4,3,entropy,129.0,0.98052
Random Forest,0.35,3,entropy,128.0,0.9804113924050636
Random Forest,0.2,3,entropy,129.0,0.9803815384615387
Random Forest,0.2,3,entropy,127.0,0.9803138461538465
Random Forest,0.35,3,entropy,130.0,0.9803129395218008
Random Forest,0.3,3,entropy,127.0,0.9801927809680063
Random Forest,0.1,3,entropy,130.0,0.9800369003690037
Random Forest,0.25,3,entropy,128.0,0.9800344657804034
Random Forest,0.3,3,entropy,125.0,0.9799753896636587
Random Forest,0.45,3,entropy,128.0,0.9799753829321662
Random Forest,0.3,3,entropy,126.0,0.9799302707137
Random Forest,0.25,3,entropy,129.0,0.9798473658296402
Random Forest,0.15,3,entropy,125.0,0.9798031173092699
Random Forest,0.2,3,entropy,125.0,0.9797846153846159
Random Forest,0.35,3,entropy,125.0,0.9796940928270044
Random Forest,0.3,3,entropy,129.0,0.9796759639048406
Random Forest,0.1,3,entropy,128.0,0.9796432964329642
Random Forest,0.15,3,entropy,126.0,0.979630844954881
Random Forest,0.45,3,entropy,129.0,0.9795213347921226
Decision Tree,0.15,5,gini,,0.9794995898277277
Random Forest,0.4,3,entropy,130.0,0.9794953846153845
Random Forest,0.4,3,entropy,128.0,0.9794338461538463
Decision Tree,0.2,5,gini,,0.9793169230769233
Decision Tree,0.35,5,gini,,0.9792791842475387
Random Forest,0.45,3,entropy,125.0,0.9792587527352298
Decision Tree,0.3,5,gini,,0.979191960623462
Random Forest,0.4,3,entropy,126.0,0.9791107692307692
Random Forest,0.45,3,entropy,130.0,0.9790727571115977
Decision Tree,0.4,5,gini,,0.9789415384615385
Decision Tree,0.45,5,gini,,0.9789277899343545
Decision Tree,0.1,5,gini,,0.9789052890528903
Decision Tree,0.25,5,gini,,0.9788380108321029
Random Forest,0.35,3,entropy,126.0,0.9785970464135025
Random Forest,0.45,3,entropy,126.0,0.9784956236323855
Decision Tree,0.45,5,entropy,,0.9784190371991253
Random Forest,0.4,3,entropy,125.0,0.9784092307692306
Decision Tree,0.35,5,entropy,,0.9783333333333337
Decision Tree,0.25,5,entropy,,0.9782865583456426
Decision Tree,0.4,5,entropy,,0.9782615384615384
Decision Tree,0.3,5,entropy,,0.9780311730926989
Decision Tree,0.2,4,gini,,0.977993846153846
Decision Tree,0.35,4,gini,,0.9778797468354431
Decision Tree,0.15,5,entropy,,0.9777768662838393
Decision Tree,0.25,4,gini,,0.9777498769079276
Decision Tree,0.3,4,gini,,0.9775881870385565
Decision Tree,0.2,5,entropy,,0.9774584615384617
Decision Tree,0.15,4,gini,,0.977366694011485
Decision Tree,0.1,5,entropy,,0.9770356703567039
Decision Tree,0.4,4,gini,,0.9765630769230768
Decision Tree,0.1,4,gini,,0.9764821648216483
Decision Tree,0.45,4,gini,,0.9757932166301966
Decision Tree,0.45,4,entropy,,0.9609463894967178
Decision Tree,0.35,4,entropy,,0.9596554149085793
Decision Tree,0.4,4,entropy,,0.9593353846153845
Decision Tree,0.4,3,gini,,0.9589969230769229
Decision Tree,0.3,3,gini,,0.9587776866283838
Decision Tree,0.45,3,gini,,0.9586816192560176
Decision Tree,0.15,3,gini,,0.9585151763740772
Decision Tree,0.25,3,gini,,0.9583653372722797
Decision Tree,0.2,3,gini,,0.9580492307692313
Decision Tree,0.3,4,entropy,,0.9580434782608696
Decision Tree,0.35,3,gini,,0.9579606188466944
Decision Tree,0.1,3,gini,,0.9578228782287824
Decision Tree,0.25,4,entropy,,0.9577252584933531
Decision Tree,0.2,3,entropy,,0.9573476923076925
Decision Tree,0.4,3,entropy,,0.9572061538461542
Decision Tree,0.45,3,entropy,,0.9571471553610498
Decision Tree,0.15,3,entropy,,0.9568990976210009
Decision Tree,0.25,3,entropy,,0.9568833087149187
Decision Tree,0.2,4,entropy,,0.9567384615384615
Decision Tree,0.35,3,entropy,,0.9565365682137841
Decision Tree,0.3,3,entropy,,0.9564930270713696
Decision Tree,0.1,3,entropy,,0.956088560885609
Decision Tree,0.15,4,entropy,,0.9553978671041837
Decision Tree,0.1,4,entropy,,0.9536900369003692
Random Forest,0.45,2,entropy,126.0,0.9250492341356675
Random Forest,0.35,2,gini,126.0,0.924521800281294
Random Forest,0.45,2,entropy,129.0,0.9243544857768053
Random Forest,0.45,2,gini,130.0,0.9242149890590808
Random Forest,0.45,2,gini,129.0,0.9242040481400434
Random Forest,0.45,2,gini,125.0,0.9241247264770241
Random Forest,0.3,2,gini,130.0,0.9237489745693191
Random Forest,0.1,2,gini,126.0,0.9236654366543666
Random Forest,0.1,2,entropy,125.0,0.9233825338253382
Random Forest,0.25,2,gini,130.0,0.9232348596750367
Random Forest,0.2,2,gini,128.0,0.9231938461538465
Random Forest,0.4,2,gini,130.0,0.9231538461538463
Random Forest,0.35,2,gini,127.0,0.9231399437412092
Random Forest,0.25,2,gini,129.0,0.9230969965534225
Random Forest,0.3,2,gini,127.0,0.9230803937653819
Random Forest,0.2,2,gini,125.0,0.9230769230769235
Random Forest,0.3,2,gini,129.0,0.9229819524200168
Random Forest,0.3,2,gini,125.0,0.922932731747334
Random Forest,0.1,2,gini,129.0,0.9229274292742928
Random Forest,0.35,2,gini,129.0,0.9229219409282698
Random Forest,0.1,2,gini,128.0,0.9228782287822881
Random Forest,0.1,2,gini,130.0,0.9228167281672813
Random Forest,0.1,2,entropy,130.0,0.9227552275522756
Random Forest,0.25,2,gini,125.0,0.9227523387493842
Random Forest,0.1,2,gini,125.0,0.9227429274292749
Random Forest,0.4,2,gini,127.0,0.9227261538461542
Random Forest,0.25,2,gini,126.0,0.9227178729689812
Random Forest,0.45,2,gini,126.0,0.9226613785557986
Random Forest,0.15,2,gini,126.0,0.922608695652174
Random Forest,0.2,2,gini,129.0,0.922566153846154
Random Forest,0.45,2,gini,127.0,0.9225574398249452
Random Forest,0.4,2,gini,126.0,0.9225384615384614
Random Forest,0.4,2,entropy,128.0,0.9223815384615386
Random Forest,0.35,2,gini,130.0,0.9223241912798867
Random Forest,0.4,2,gini,128.0,0.922316923076923
Random Forest,0.3,2,gini,126.0,0.922288761279737
Random Forest,0.45,2,entropy,130.0,0.9222811816192561
Random Forest,0.2,2,entropy,126.0,0.9222461538461537
Random Forest,0.15,2,gini,125.0,0.9222231337161608
Random Forest,0.4,2,entropy,125.0,0.922212307692308
Random Forest,0.1,2,gini,127.0,0.9221279212792127
Random Forest,0.45,2,entropy,128.0,0.9220021881838072
Random Forest,0.2,2,entropy,128.0,0.922
Random Forest,0.2,2,gini,126.0,0.92192
Random Forest,0.15,2,gini,130.0,0.9219196062346188
Random Forest,0.4,2,entropy,129.0,0.9219015384615384
